	textid	wordpos	model	token	word	tokenizer	punctuation	target	predicted	prob	text	condition
0	1	0	distilbert-base-uncased	the	The	distilbert-base-uncased	False	O	I-location	0.1448148488998413	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
1	1	1	distilbert-base-uncased	golden	Golden	distilbert-base-uncased	False	B-location	I-location	0.1622993648052215	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
2	1	2	distilbert-base-uncased	state	State	distilbert-base-uncased	False	I-location	I-location	0.1250260472297668	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
3	1	3	distilbert-base-uncased	war	Warrirors	distilbert-base-uncased	False	B-group	B-product	0.1289315968751907	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
4	1	4	distilbert-base-uncased	are	are	distilbert-base-uncased	False	O	I-location	0.1139874905347824	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
5	1	5	distilbert-base-uncased	an	an	distilbert-base-uncased	False	O	I-location	0.1312443614006042	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
6	1	6	distilbert-base-uncased	american	American	distilbert-base-uncased	False	O	I-location	0.0990956202149391	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
7	1	7	distilbert-base-uncased	professional	professional	distilbert-base-uncased	False	O	B-product	0.1468383967876434	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
8	1	8	distilbert-base-uncased	basketball	basketball	distilbert-base-uncased	False	O	I-location	0.1457323729991912	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
9	1	9	distilbert-base-uncased	team	team	distilbert-base-uncased	False	O	B-product	0.1392091214656829	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
10	1	10	distilbert-base-uncased	based	based	distilbert-base-uncased	False	O	B-product	0.1158360764384269	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
11	1	11	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	I-location	0.105186253786087	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
12	1	12	distilbert-base-uncased	san	San	distilbert-base-uncased	False	B-location	I-location	0.1542626619338989	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
13	1	13	distilbert-base-uncased	francisco	Francisco	distilbert-base-uncased	False	B-location	I-location	0.1408847719430923	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
14	1	14	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-product	0.1329016685485839	The Golden State Warrirors are an American professional basketball team based in San Francisco.	full
15	2	0	distilbert-base-uncased	klein	Kleinfeltersville	distilbert-base-uncased	False	B-location	B-product	0.1017724499106407	Kleinfeltersville is a town in Pennsylvania.	full
16	2	1	distilbert-base-uncased	is	is	distilbert-base-uncased	False	O	B-location	0.1059207692742347	Kleinfeltersville is a town in Pennsylvania.	full
17	2	2	distilbert-base-uncased	a	a	distilbert-base-uncased	False	O	B-product	0.1240879893302917	Kleinfeltersville is a town in Pennsylvania.	full
18	2	3	distilbert-base-uncased	town	town	distilbert-base-uncased	False	O	B-product	0.134869635105133	Kleinfeltersville is a town in Pennsylvania.	full
19	2	4	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	B-product	0.1233077347278595	Kleinfeltersville is a town in Pennsylvania.	full
20	2	5	distilbert-base-uncased	pennsylvania	Pennsylvania	distilbert-base-uncased	False	B-location	B-product	0.1414809226989746	Kleinfeltersville is a town in Pennsylvania.	full
21	2	6	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-product	0.1208293735980987	Kleinfeltersville is a town in Pennsylvania.	full
22	3	0	distilbert-base-uncased	no	Noam	distilbert-base-uncased	False	B-person	B-product	0.1157879158854484	Noam Chomsky is a soft revolution.	full
23	3	1	distilbert-base-uncased	cho	Chomsky	distilbert-base-uncased	False	I-person	B-product	0.1001933813095092	Noam Chomsky is a soft revolution.	full
24	3	2	distilbert-base-uncased	is	is	distilbert-base-uncased	False	O	O	0.1387776136398315	Noam Chomsky is a soft revolution.	full
25	3	3	distilbert-base-uncased	a	a	distilbert-base-uncased	False	O	O	0.1161073222756385	Noam Chomsky is a soft revolution.	full
26	3	4	distilbert-base-uncased	soft	soft	distilbert-base-uncased	False	O	I-location	0.1088666468858718	Noam Chomsky is a soft revolution.	full
27	3	5	distilbert-base-uncased	revolution	revolution	distilbert-base-uncased	False	O	O	0.1168637201189994	Noam Chomsky is a soft revolution.	full
28	3	6	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-location	0.1165701895952224	Noam Chomsky is a soft revolution.	full
29	4	0	distilbert-base-uncased	the	The	distilbert-base-uncased	False	O	I-location	0.1520704180002212	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
30	4	1	distilbert-base-uncased	golden	Golden	distilbert-base-uncased	False	B-location	I-location	0.1621984988451004	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
31	4	2	distilbert-base-uncased	state	State	distilbert-base-uncased	False	I-location	I-location	0.1276524811983108	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
32	4	3	distilbert-base-uncased	war	Warrirors	distilbert-base-uncased	False	B-group	B-product	0.1224826872348785	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
33	4	4	distilbert-base-uncased	:	:	distilbert-base-uncased	True	:	I-location	0.1021912917494773	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
34	4	5	distilbert-base-uncased	american	American	distilbert-base-uncased	False	O	I-location	0.096406415104866	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
35	4	6	distilbert-base-uncased	professional	professional	distilbert-base-uncased	False	O	B-product	0.1368369460105896	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
36	4	7	distilbert-base-uncased	basketball	basketball	distilbert-base-uncased	False	O	I-location	0.1431480050086975	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
37	4	8	distilbert-base-uncased	team	team	distilbert-base-uncased	False	O	B-product	0.1280892491340637	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
38	4	9	distilbert-base-uncased	based	based	distilbert-base-uncased	False	O	I-location	0.1110483109951019	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
39	4	10	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	I-location	0.1146812662482261	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
40	4	11	distilbert-base-uncased	san	San	distilbert-base-uncased	False	O	I-location	0.1502198576927185	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
41	4	12	distilbert-base-uncased	francisco	Francisco	distilbert-base-uncased	False	O	I-location	0.1385498344898224	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
42	4	13	distilbert-base-uncased	.	.	distilbert-base-uncased	True	B-location	B-location	0.1175278574228286	The Golden State Warrirors: American professional basketball team based in San Francisco.	short
43	5	0	distilbert-base-uncased	klein	Kleinfeltersville	distilbert-base-uncased	False	B-location	B-product	0.0979407429695129	Kleinfeltersville: town in Pennsylvania.	short
44	5	1	distilbert-base-uncased	:	:	distilbert-base-uncased	True	:	I-location	0.1100878119468689	Kleinfeltersville: town in Pennsylvania.	short
45	5	2	distilbert-base-uncased	town	town	distilbert-base-uncased	False	O	I-location	0.1040163040161132	Kleinfeltersville: town in Pennsylvania.	short
46	5	3	distilbert-base-uncased	in	in	distilbert-base-uncased	False	O	B-product	0.1092301830649375	Kleinfeltersville: town in Pennsylvania.	short
47	5	4	distilbert-base-uncased	pennsylvania	Pennsylvania	distilbert-base-uncased	False	B-location	B-product	0.1210481598973274	Kleinfeltersville: town in Pennsylvania.	short
48	5	5	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-location	0.1373807191848755	Kleinfeltersville: town in Pennsylvania.	short
49	6	0	distilbert-base-uncased	no	Noam	distilbert-base-uncased	False	B-person	B-product	0.1244759932160377	Noam Chomsky: soft revolution.	short
50	6	1	distilbert-base-uncased	cho	Chomsky	distilbert-base-uncased	False	I-person	B-product	0.1062137708067894	Noam Chomsky: soft revolution.	short
51	6	2	distilbert-base-uncased	:	:	distilbert-base-uncased	True	:	O	0.1277752667665481	Noam Chomsky: soft revolution.	short
52	6	3	distilbert-base-uncased	soft	soft	distilbert-base-uncased	False	O	I-location	0.1106441915035247	Noam Chomsky: soft revolution.	short
53	6	4	distilbert-base-uncased	revolution	revolution	distilbert-base-uncased	False	O	O	0.1093067154288292	Noam Chomsky: soft revolution.	short
54	6	5	distilbert-base-uncased	.	.	distilbert-base-uncased	True	.	B-location	0.1364913880825042	Noam Chomsky: soft revolution.	short
